Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine . And the other : steamship , yacht , tugboat , cruiser , submarine , canoe , sailboat , freighter , destroyer , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser . And the other : canoe , steamship , battleship , destroyer , yacht , freighter , sailboat , cruiser , submarine , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship . And the other : tugboat , canoe , steamship , freighter , cruiser , battleship , yacht , sailboat , submarine , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer . And the other : tugboat , yacht , destroyer , cruiser , submarine , freighter , steamship , canoe , sailboat , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : destroyer , battleship , cruiser , submarine , yacht , canoe , freighter , tugboat , steamship , sailboat . And the other : cruiser , submarine , yacht , sailboat , battleship , destroyer , tugboat , canoe , freighter , steamship .
Before the meeting , Mary wrote down the following lists of words . One was : robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture . And the other : crow , sparrow , heron , hawk , pigeon , woodpecker , eagle , parrot , robin , vulture .
Before the meeting , Mary wrote down the following lists of words . One was : vulture , robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker . And the other : vulture , parrot , hawk , woodpecker , robin , pigeon , sparrow , crow , heron , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : woodpecker , vulture , robin , sparrow , heron , eagle , crow , hawk , parrot , pigeon . And the other : vulture , woodpecker , pigeon , sparrow , heron , crow , eagle , hawk , parrot , robin .
Before the meeting , Mary wrote down the following lists of words . One was : pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow , hawk , parrot . And the other : woodpecker , robin , vulture , heron , sparrow , eagle , hawk , pigeon , parrot , crow .
Before the meeting , Mary wrote down the following lists of words . One was : parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow , hawk . And the other : parrot , robin , vulture , hawk , sparrow , pigeon , woodpecker , heron , eagle , crow .
Before the meeting , Mary wrote down the following lists of words . One was : hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle , crow . And the other : hawk , woodpecker , vulture , eagle , pigeon , parrot , heron , sparrow , robin , crow .
Before the meeting , Mary wrote down the following lists of words . One was : crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron , eagle . And the other : woodpecker , sparrow , robin , pigeon , parrot , heron , eagle , crow , hawk , vulture .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow , heron . And the other : hawk , parrot , vulture , heron , robin , woodpecker , pigeon , eagle , sparrow , crow .
Before the meeting , Mary wrote down the following lists of words . One was : heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow . And the other : parrot , crow , heron , woodpecker , robin , pigeon , sparrow , eagle , vulture , hawk .
Before the meeting , Mary wrote down the following lists of words . One was : sparrow , heron , eagle , crow , hawk , parrot , pigeon , woodpecker , vulture , robin . And the other : sparrow , crow , eagle , heron , woodpecker , pigeon , hawk , vulture , parrot , robin .
Before the meeting , Mary wrote down the following lists of words . One was : apple , pear , banana , peach , grape , cherry , plum , grapefruit , lemon , apricot . And the other : grapefruit , banana , peach , apricot , lemon , apple , plum , grape , cherry , pear .
Before the meeting , Mary wrote down the following lists of words . One was : apricot , apple , pear , banana , peach , grape , cherry , plum , grapefruit , lemon . And the other : lemon , apple , grapefruit , apricot , peach , cherry , grape , banana , plum , pear .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , apricot , apple , pear , banana , peach , grape , cherry , plum , grapefruit . And the other : lemon , grape , peach , pear , apricot , plum , grapefruit , apple , cherry , banana .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot , apple , pear , banana , peach , grape , cherry , plum . And the other : apricot , banana , apple , plum , lemon , grape , pear , grapefruit , peach , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon , apricot , apple , pear , banana , peach , grape , cherry . And the other : grapefruit , apple , grape , apricot , lemon , cherry , plum , pear , peach , banana .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit , lemon , apricot , apple , pear , banana , peach , grape . And the other : cherry , peach , pear , apple , apricot , grape , banana , plum , grapefruit , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum , grapefruit , lemon , apricot , apple , pear , banana , peach . And the other : apricot , lemon , pear , peach , banana , grapefruit , plum , grape , apple , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry , plum , grapefruit , lemon , apricot , apple , pear , banana . And the other : grape , peach , plum , apricot , lemon , grapefruit , banana , pear , cherry , apple .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape , cherry , plum , grapefruit , lemon , apricot , apple , pear . And the other : cherry , plum , apricot , pear , grape , banana , grapefruit , apple , peach , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : pear , banana , peach , grape , cherry , plum , grapefruit , lemon , apricot , apple . And the other : banana , apple , lemon , apricot , peach , plum , cherry , pear , grapefruit , grape .
